DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
5/15/2020 0:00,4135001,HmiyD2TTLFNqkNe,25.18431613,22.8575074,0
5/15/2020 0:15,4135001,HmiyD2TTLFNqkNe,25.08458867,22.76166787,0
5/15/2020 0:30,4135001,HmiyD2TTLFNqkNe,24.9357526,22.59230553,0
5/15/2020 0:45,4135001,HmiyD2TTLFNqkNe,24.8461304,22.36085213,0
5/15/2020 1:00,4135001,HmiyD2TTLFNqkNe,24.62152536,22.16542264,0
5/15/2020 1:15,4135001,HmiyD2TTLFNqkNe,24.5360922,21.96857087,0
5/15/2020 1:30,4135001,HmiyD2TTLFNqkNe,24.63867387,22.35292567,0
5/15/2020 1:45,4135001,HmiyD2TTLFNqkNe,24.87302233,23.1609192,0
5/15/2020 2:00,4135001,HmiyD2TTLFNqkNe,24.93693047,23.026113,0
5/15/2020 2:15,4135001,HmiyD2TTLFNqkNe,25.0122476,23.34322927,0
5/15/2020 2:30,4135001,HmiyD2TTLFNqkNe,25.00514933,23.63945927,0
5/15/2020 2:45,4135001,HmiyD2TTLFNqkNe,24.99301953,24.0394858,0
5/15/2020 3:00,4135001,HmiyD2TTLFNqkNe,25.01630943,24.38413557,0
5/15/2020 3:15,4135001,HmiyD2TTLFNqkNe,24.98521527,24.35150773,0
5/15/2020 3:30,4135001,HmiyD2TTLFNqkNe,24.93773193,24.06029653,0
5/15/2020 3:45,4135001,HmiyD2TTLFNqkNe,24.87909953,23.70979413,0
5/15/2020 4:00,4135001,HmiyD2TTLFNqkNe,24.6789022,22.58994153,0
5/15/2020 4:15,4135001,HmiyD2TTLFNqkNe,24.3519308,21.78364253,0
5/15/2020 4:30,4135001,HmiyD2TTLFNqkNe,24.0626222,21.85252493,0
5/15/2020 4:45,4135001,HmiyD2TTLFNqkNe,24.0132242,22.306315,0
5/15/2020 5:00,4135001,HmiyD2TTLFNqkNe,24.1771058,22.55190847,0
5/15/2020 5:15,4135001,HmiyD2TTLFNqkNe,24.304888,22.97949207,0
5/15/2020 5:30,4135001,HmiyD2TTLFNqkNe,24.32872727,23.45238047,0
5/15/2020 5:45,4135001,HmiyD2TTLFNqkNe,24.28921113,23.09669193,0.000862721
5/15/2020 6:00,4135001,HmiyD2TTLFNqkNe,24.08844607,22.2067566,0.005886957
5/15/2020 6:15,4135001,HmiyD2TTLFNqkNe,24.01163527,22.35345867,0.022281607
5/15/2020 6:30,4135001,HmiyD2TTLFNqkNe,23.97673127,22.893282,0.049409724
5/15/2020 6:45,4135001,HmiyD2TTLFNqkNe,24.21899,24.44244393,0.095394454
5/15/2020 7:00,4135001,HmiyD2TTLFNqkNe,24.5373984,27.18565287,0.141940443
5/15/2020 7:15,4135001,HmiyD2TTLFNqkNe,24.8159595,28.88847786,0.154712676
5/15/2020 7:30,4135001,HmiyD2TTLFNqkNe,24.98878987,29.6056438,0.148799153
